time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-14T11:02:50.357Z,-22.5402,170.4737,39.94,4.9,mb,,105,2.798,1.27,us,us7000h25p,2022-04-14T11:21:57.040Z,"289 km ESE of Tadine, New Caledonia",earthquake,8.1,7.7,0.084,45,reviewed,us,us
2022-04-14T01:28:57.022Z,-19.1374,169.7119,288.01,4.3,mb,,79,4.055,0.32,us,us7000h3kr,2022-04-21T04:01:00.040Z,"63 km NE of Isangel, Vanuatu",earthquake,9.7,9.9,0.137,15,reviewed,us,us
2022-04-13T21:44:35.689Z,-22.5553,170.258,10,4.7,mb,,109,2.599,0.75,us,us7000h1zr,2022-04-13T22:01:48.040Z,"269 km ESE of Tadine, New Caledonia",earthquake,6.7,1.9,0.183,10,reviewed,us,us
2022-04-13T20:11:46.933Z,-12.6044,167.1591,226.82,4.4,mb,,56,2.826,0.58,us,us7000h1ye,2022-04-19T18:56:12.040Z,"146 km NNW of Sola, Vanuatu",earthquake,11.6,6.7,0.074,52,reviewed,us,us
2022-04-13T02:32:00.630Z,-13.7229,166.7418,17,5.4,mww,,28,1.771,0.53,us,us7000h1lp,2022-04-14T21:44:29.318Z,"89 km W of Sola, Vanuatu",earthquake,7.4,1.7,0.071,19,reviewed,us,us
2022-04-13T00:10:18.806Z,-22.5518,170.1618,10,4.5,mb,,115,2.51,0.41,us,us7000h3cq,2022-04-27T05:18:57.040Z,"260 km ESE of Tadine, New Caledonia",earthquake,4.8,1.9,0.22,6,reviewed,us,us
2022-04-12T20:53:47.203Z,-10.4573,160.8792,36.11,4.6,mb,,105,1.366,0.51,us,us7000h29t,2022-04-14T16:58:19.040Z,"114 km W of Kirakira, Solomon Islands",earthquake,7.9,7.9,0.132,20,reviewed,us,us
2022-04-11T12:15:41.162Z,-10.1298,160.5896,38.98,4.9,mb,,60,0.933,0.52,us,us7000h19i,2022-04-29T06:40:50.040Z,"104 km SE of Honiara, Solomon Islands",earthquake,7.9,6.3,0.045,154,reviewed,us,us
2022-04-11T10:53:41.180Z,-21.0491,168.5786,35.71,4.6,mb,,104,1.878,0.78,us,us7000h280,2022-04-18T12:39:43.040Z,"91 km NE of Tadine, New Caledonia",earthquake,8.4,7,0.157,12,reviewed,us,us
2022-04-11T01:57:21.634Z,-17.5122,168.1214,10,4,mb,,118,2.234,0.87,us,us7000h27s,2022-04-25T04:35:37.040Z,"32 km NW of Port-Vila, Vanuatu",earthquake,10.4,1.9,0.259,5,reviewed,us,us
2022-04-10T10:39:27.236Z,-14.3472,167.3212,173.23,4.4,mb,,159,1.099,0.43,us,us7000h251,2022-04-17T07:02:53.040Z,"57 km SSW of Sola, Vanuatu",earthquake,11.7,7.8,0.111,23,reviewed,us,us
2022-04-10T04:24:06.209Z,-14.9578,167.452,114.24,4.3,mb,,162,0.542,0.37,us,us7000h10r,2022-04-15T00:34:26.040Z,"41 km ENE of Port-Olry, Vanuatu",earthquake,13.8,6.5,0.218,7,reviewed,us,us
