time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-17T06:47:42.080Z,-17.5953,-178.4432,541.72,4.3,mb,,112,3.283,0.55,us,us7000h2tw,2022-04-17T07:09:26.040Z,"243 km ENE of Levuka, Fiji",earthquake,13.3,7.7,0.085,41,reviewed,us,us
2022-04-17T02:12:26.594Z,-29.0702,-176.5937,10,5,mb,,207,15.269,0.93,us,us6000hfjt,2022-04-23T00:36:16.040Z,Kermadec Islands region,earthquake,17.6,1.9,0.178,12,reviewed,us,us
2022-04-17T02:11:46.301Z,-28.8723,-176.4815,10,5,mb,,98,1.318,1.08,us,us6000hfjp,2022-04-23T00:27:02.040Z,Kermadec Islands region,earthquake,6.3,1.9,0.189,11,reviewed,us,us
2022-04-17T02:10:49.228Z,-29.0926,-176.3655,10,5,mb,,134,1.37,0.88,us,us7000h2si,2022-04-17T02:28:05.040Z,Kermadec Islands region,earthquake,5.8,1.9,0.123,24,reviewed,us,us
2022-04-17T01:47:54.317Z,-29.2225,-176.5254,10,4.8,mb,,151,1.219,0.9,us,us7000h2se,2022-04-17T02:03:56.040Z,Kermadec Islands region,earthquake,12.7,1.9,0.176,11,reviewed,us,us
2022-04-16T22:54:16.268Z,-29.1146,-176.8303,10,4.5,mb,,133,0.964,0.39,us,us6000hfc4,2022-04-25T05:01:34.040Z,Kermadec Islands region,earthquake,7.2,1.9,0.163,11,reviewed,us,us
2022-04-16T21:51:12.050Z,-29.3041,-176.5767,10,4.8,mb,,121,1.174,0.91,us,us7000h2ra,2022-04-26T03:56:16.040Z,Kermadec Islands region,earthquake,5.4,1.8,0.081,47,reviewed,us,us
2022-04-16T21:29:01.791Z,-23.2651,179.7225,520.05,4,mb,,76,5.71,0.52,us,us6000hfbz,2022-04-26T04:14:23.040Z,south of the Fiji Islands,earthquake,12.8,10.9,0.144,13,reviewed,us,us
2022-04-16T04:55:35.573Z,-26.3334,-177.7087,160.25,4.3,mb,,137,2.923,0.73,us,us6000hfbg,2022-04-22T00:47:24.040Z,south of the Fiji Islands,earthquake,14.3,6.9,0.217,7,reviewed,us,us
2022-04-15T22:12:11.069Z,-29.0763,-176.6272,10,4.5,mb,,199,1.146,0.63,us,us6000hfan,2022-04-24T04:24:05.040Z,Kermadec Islands region,earthquake,14,1.9,0.22,6,reviewed,us,us
