"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","strTime","Month","Day","Year","DailyS","CumulativeS"
2022-04-16 21:57:37,-22.3964,170.6628,10,5.3,"mww",NA,54,2.982,0.75,"us","us7000h2rc",2022-04-26 03:59:40,"southeast of the Loyalty Islands","earthquake",7.8,1.8,0.069,20,"reviewed","us","us","04/16/22 21:57:37",4,16,2022,79057,9151057
2022-04-15 14:35:50,-11.0728,166.5273,137.2,4.4,"mb",NA,102,4.397,0.47,"us","us6000hfaa",2022-04-22 07:40:45,"88 km ESE of Lata, Solomon Islands","earthquake",8.4,5.3,0.092,34,"reviewed","us","us","04/15/22 14:35:50",4,15,2022,52550,9038150
2022-04-15 14:22:43,-17.5429,168.667,10,5.3,"mww",NA,70,2.513,0.6,"us","us7000h2hw",2022-04-29 09:00:53,"43 km ENE of Port-Vila, Vanuatu","earthquake",7.1,1.8,0.073,18,"reviewed","us","us","04/15/22 14:22:43",4,15,2022,51763,9037363
2022-04-15 13:59:13,-17.4936,168.6746,213.71,4.3,"mb",NA,70,2.476,0.64,"us","us7000h2hs",2022-04-29 08:46:14,"46 km NE of Port-Vila, Vanuatu","earthquake",7.8,4.8,0.092,34,"reviewed","us","us","04/15/22 13:59:13",4,15,2022,50353,9035953
2022-04-14 11:02:50,-22.5402,170.4737,39.94,4.9,"mb",NA,105,2.798,1.27,"us","us7000h25p",2022-04-14 11:21:57,"289 km ESE of Tadine, New Caledonia","earthquake",8.1,7.7,0.084,45,"reviewed","us","us","04/14/22 11:02:50",4,14,2022,39770,8938970
2022-04-14 01:28:57,-19.1374,169.7119,288.01,4.3,"mb",NA,79,4.055,0.32,"us","us7000h3kr",2022-04-21 04:01:00,"63 km NE of Isangel, Vanuatu","earthquake",9.7,9.9,0.137,15,"reviewed","us","us","04/14/22 01:28:57",4,14,2022,5337,8904537
2022-04-13 21:44:35,-22.5553,170.258,10,4.7,"mb",NA,109,2.599,0.75,"us","us7000h1zr",2022-04-13 22:01:48,"269 km ESE of Tadine, New Caledonia","earthquake",6.7,1.9,0.183,10,"reviewed","us","us","04/13/22 21:44:35",4,13,2022,78275,8891075
2022-04-13 20:11:46,-12.6044,167.1591,226.82,4.4,"mb",NA,56,2.826,0.58,"us","us7000h1ye",2022-04-19 18:56:12,"146 km NNW of Sola, Vanuatu","earthquake",11.6,6.7,0.074,52,"reviewed","us","us","04/13/22 20:11:46",4,13,2022,72706,8885506
2022-04-13 02:32:00,-13.7229,166.7418,17,5.4,"mww",NA,28,1.771,0.53,"us","us7000h1lp",2022-04-14 21:44:29,"89 km W of Sola, Vanuatu","earthquake",7.4,1.7,0.071,19,"reviewed","us","us","04/13/22 02:32:00",4,13,2022,9120,8821920
2022-04-13 00:10:18,-22.5518,170.1618,10,4.5,"mb",NA,115,2.51,0.41,"us","us7000h3cq",2022-04-27 05:18:57,"260 km ESE of Tadine, New Caledonia","earthquake",4.8,1.9,0.22,6,"reviewed","us","us","04/13/22 00:10:18",4,13,2022,618,8813418
2022-04-12 20:53:47,-10.4573,160.8792,36.11,4.6,"mb",NA,105,1.366,0.51,"us","us7000h29t",2022-04-14 16:58:19,"114 km W of Kirakira, Solomon Islands","earthquake",7.9,7.9,0.132,20,"reviewed","us","us","04/12/22 20:53:47",4,12,2022,75227,8801627
2022-04-11 12:15:41,-10.1298,160.5896,38.98,4.9,"mb",NA,60,0.933,0.52,"us","us7000h19i",2022-04-29 06:40:50,"104 km SE of Honiara, Solomon Islands","earthquake",7.9,6.3,0.045,154,"reviewed","us","us","04/11/22 12:15:41",4,11,2022,44141,8684141
2022-04-11 10:53:41,-21.0491,168.5786,35.71,4.6,"mb",NA,104,1.878,0.78,"us","us7000h280",2022-04-18 12:39:43,"91 km NE of Tadine, New Caledonia","earthquake",8.4,7,0.157,12,"reviewed","us","us","04/11/22 10:53:41",4,11,2022,39221,8679221
2022-04-11 01:57:21,-17.5122,168.1214,10,4,"mb",NA,118,2.234,0.87,"us","us7000h27s",2022-04-25 04:35:37,"32 km NW of Port-Vila, Vanuatu","earthquake",10.4,1.9,0.259,5,"reviewed","us","us","04/11/22 01:57:21",4,11,2022,7041,8647041
2022-04-10 10:39:27,-14.3472,167.3212,173.23,4.4,"mb",NA,159,1.099,0.43,"us","us7000h251",2022-04-17 07:02:53,"57 km SSW of Sola, Vanuatu","earthquake",11.7,7.8,0.111,23,"reviewed","us","us","04/10/22 10:39:27",4,10,2022,38367,8591967
2022-04-10 04:24:06,-14.9578,167.452,114.24,4.3,"mb",NA,162,0.542,0.37,"us","us7000h10r",2022-04-15 00:34:26,"41 km ENE of Port-Olry, Vanuatu","earthquake",13.8,6.5,0.218,7,"reviewed","us","us","04/10/22 04:24:06",4,10,2022,15846,8569446
2022-04-10 01:24:44,-16.3201,167.4974,10,4.6,"mb",NA,161,0.913,1.13,"us","us7000h24k",2022-04-14 23:33:02,"25 km SSE of Lakatoro, Vanuatu","earthquake",10.2,1,0.224,7,"reviewed","us","us","04/10/22 01:24:44",4,10,2022,5084,8558684
2022-04-09 20:52:37,-16.3181,166.8507,10,6.3,"mww",NA,33,0.93,0.88,"us","us7000h0yj",2022-04-10 20:57:42,"64 km WSW of Norsup, Vanuatu","earthquake",5.6,1.7,0.038,68,"reviewed","us","us","04/09/22 20:52:37",4,9,2022,75157,8542357
2022-04-09 19:35:14,-22.9049,171.537,22.96,5,"mww",NA,64,3.786,0.91,"us","us7000h0y5",2022-04-09 20:17:25,"southeast of the Loyalty Islands","earthquake",8.9,4.5,0.098,10,"reviewed","us","us","04/09/22 19:35:14",4,9,2022,70514,8537714
2022-04-09 15:11:23,-13.9234,167.3699,192.89,4.3,"mb",NA,90,1.523,0.74,"us","us7000h1vd",2022-04-16 19:05:46,"20 km WSW of Sola, Vanuatu","earthquake",6.6,6.2,0.108,27,"reviewed","us","us","04/09/22 15:11:23",4,9,2022,54683,8521883
2022-04-08 19:40:51,-14.9859,167.5069,111.01,5,"mb",NA,179,0.544,0.65,"us","us7000h0su",2022-04-08 20:53:46,"47 km E of Port-Olry, Vanuatu","earthquake",11.4,6.7,0.109,27,"reviewed","us","us","04/08/22 19:40:51",4,8,2022,70851,8451651
2022-04-07 02:08:30,-10.7732,166.1261,35,4.5,"mb",NA,77,4.762,0.78,"us","us7000h1su",2022-04-17 23:13:32,"36 km E of Lata, Solomon Islands","earthquake",6.1,2,0.204,8,"reviewed","us","us","04/07/22 02:08:30",4,7,2022,7710,8302110
2022-04-06 22:44:09,-11.807,166.7016,180.82,4.4,"mb",NA,145,3.651,0.56,"us","us7000h1sf",2022-04-29 23:46:01,"155 km SE of Lata, Solomon Islands","earthquake",11.7,5.5,0.12,20,"reviewed","us","us","04/06/22 22:44:09",4,6,2022,81849,8289849
